Soil Moisture [RH%],Soil Temperature [C],Environmental Temperature [ C],Environmental Humidity [RH %],Weather Forecast Rainfall [mm],Crop Data Evapotranspiration [mm],Irrigation_Decision
24.25,24.6,26.0,68.0,0.0,0.0,2
24.25,24.6,25.9,68.5,0.0,0.0,2
24.2,24.6,25.8,68.0,0.0,0.0,2
24.2,24.5,25.4,70.0,0.0,0.0,2
24.25,24.5,25.1,70.5,0.0,0.0,2
24.25,24.5,25.3,69.5,0.0,0.0,2
24.2,24.5,25.6,69.0,0.0,0.0,2
24.25,24.5,25.5,69.5,0.0,0.0,2
24.2,24.5,25.3,69.5,0.0,0.0,2
24.2,24.5,25.1,71.0,0.0,0.0,2
24.2,24.5,24.7,72.5,0.0,0.0,2
24.14,24.5,24.5,73.5,0.0,0.0,2
24.14,24.4,24.0,74.5,0.0,0.0,2
24.14,24.4,23.8,76.0,0.0,0.0,2
24.14,24.4,23.8,77.0,0.0,0.0,2
24.14,24.4,23.4,78.0,0.0,0.0,2
24.14,24.4,23.1,78.0,0.0,0.0,2
24.14,24.4,22.9,80.0,0.0,0.0,2
24.08,24.4,22.4,80.5,0.0,0.0,2
24.14,24.3,22.2,80.5,0.0,0.0,2
24.08,24.3,22.0,82.0,0.0,0.0,2
24.08,24.3,21.7,82.5,0.0,0.0,2
24.08,24.3,21.5,82.5,0.0,0.0,2
24.08,24.3,21.1,83.5,0.0,0.0,2
23.99,24.3,20.9,84.5,0.0,0.0,2
23.99,24.3,20.7,85.0,0.0,0.0,2
23.99,24.3,20.6,86.0,0.0,0.0,2
23.99,24.2,21.2,89.5,0.0,0.0,2
23.99,24.2,21.6,88.5,0.0,0.0,2
23.99,24.2,21.4,88.0,0.0,0.0,2
23.99,24.2,21.2,87.5,0.0,0.0,2
23.99,24.2,21.2,87.5,0.0,0.0,2
23.99,24.2,20.7,87.5,0.0,0.0,2
23.99,24.1,20.2,88.0,0.0,0.0,2
23.99,24.1,20.2,89.0,0.0,0.0,2
23.93,24.1,20.0,89.0,0.0,0.0,2
23.93,24.1,20.0,88.5,0.0,0.0,2
23.99,24.1,19.8,89.0,0.0,0.0,2
23.93,24.1,19.6,90.0,0.0,0.0,2
23.93,24.0,19.6,90.5,0.0,0.0,2
23.93,24.0,19.6,91.0,0.0,0.0,2
23.93,24.0,19.7,92.0,0.0,0.0,2
23.93,24.0,19.6,91.5,0.0,0.0,2
23.88,24.0,19.6,91.0,0.0,0.0,2
23.93,24.0,19.7,90.5,0.0,0.0,2
23.88,23.9,19.7,90.5,0.0,0.0,2
23.93,23.9,20.0,90.5,0.0,0.0,2
23.93,23.9,20.3,90.5,0.0,0.0,2
23.88,23.9,20.8,91.0,0.0,0.0,2
23.88,23.9,21.3,88.5,0.0,0.0,2
23.88,23.9,21.6,87.5,0.0,0.0,2
23.88,23.8,22.3,85.5,0.0,0.0,2
23.88,23.8,22.9,82.5,0.0,0.0,2
23.82,23.8,24.9,76.5,0.0,0.0,2
23.88,23.8,25.8,73.0,0.0,0.01,2
23.88,23.8,27.2,69.5,0.0,0.01,2
23.88,23.7,27.3,68.0,0.0,0.01,2
23.88,23.7,27.6,69.5,0.0,0.01,2
23.88,23.7,28.3,65.0,0.0,0.01,2
23.82,23.7,28.6,64.5,0.0,0.01,2
23.77,23.7,28.7,63.0,0.0,0.08,2
23.82,23.7,28.8,63.5,0.0,0.08,2
23.77,23.7,28.6,62.0,0.0,0.08,2
23.77,23.7,29.0,62.0,0.0,0.08,2
23.77,23.6,28.1,64.0,0.0,0.08,2
23.71,23.6,29.1,62.5,0.0,0.08,2
23.71,23.6,28.5,64.0,0.0,0.21,2
23.71,23.6,29.9,60.0,0.0,0.21,2
23.71,23.6,29.2,60.5,0.0,0.21,2
23.67,23.6,31.0,56.5,0.0,0.21,2
23.67,23.6,31.8,54.5,0.0,0.21,2
23.67,23.6,32.1,54.0,0.0,0.21,2
23.62,23.6,32.5,51.5,0.0,0.31,2
23.62,23.6,32.9,52.5,0.0,0.31,2
23.62,23.7,32.6,52.0,0.0,0.31,2
23.56,23.7,33.0,50.0,0.0,0.31,2
23.56,23.7,33.5,50.0,0.0,0.31,2
23.5,23.7,33.1,49.5,0.0,0.31,2
23.5,23.7,33.3,52.0,0.0,0.41,2
23.5,23.7,33.2,50.0,0.0,0.41,2
23.56,23.7,33.3,51.5,0.0,0.41,2
24.79,23.8,33.1,54.5,0.0,0.41,2
27.55,23.8,33.5,50.5,0.0,0.41,0
28.97,23.8,33.4,50.0,0.0,0.41,2
29.81,23.9,33.7,49.5,0.0,0.55,2
30.33,23.9,33.6,48.0,0.0,0.55,2
30.6,23.9,33.9,50.0,0.0,0.55,2
30.86,23.9,33.9,46.5,0.0,0.55,2
31.0,23.9,33.9,49.0,0.0,0.55,2
31.13,23.9,34.1,48.0,0.0,0.55,2
31.21,23.9,34.4,48.0,0.0,0.58,2
31.27,23.9,34.8,46.5,0.0,0.58,2
31.35,23.9,34.8,47.0,0.0,0.58,2
31.21,23.9,34.1,45.0,0.0,0.58,2
30.41,23.9,34.1,44.5,0.0,0.58,2
31.27,23.9,34.7,44.5,0.0,0.58,2
31.48,23.9,35.0,45.0,0.0,0.57,2
31.61,23.9,34.8,43.5,0.0,0.57,2
31.61,23.9,35.1,44.0,0.0,0.57,2
31.68,23.9,35.2,46.5,0.0,0.57,2
31.68,23.9,35.3,45.5,0.0,0.57,2
31.68,23.9,35.4,45.0,0.0,0.57,2
31.74,23.9,35.6,45.0,0.0,0.49,2
31.74,23.9,36.2,42.5,0.0,0.49,2
31.74,23.8,36.0,43.0,0.0,0.49,2
31.74,23.8,36.4,41.0,0.0,0.49,2
31.82,23.8,36.3,40.0,0.0,0.49,2
31.82,23.8,36.2,43.5,0.0,0.49,2
31.82,23.8,36.4,41.0,0.0,0.44,2
31.9,23.7,36.8,41.5,0.0,0.44,2
31.9,23.7,36.5,41.0,0.0,0.44,2
31.9,23.7,35.8,41.5,0.0,0.44,2
